LastPayDex,PayDex2,PayDex4
72.75,72.75,67.0
74.5,76.25,73.0
76.75,56.75,55.5
80.0,77.0,80.0
79.25,78.25,73.25
57.5,71.25,80.5
74.75,70.0,74.0
64.0,72.75,79.5
71.75,70.0,75.5
80.0,47.0,65.0
75.25,78.5,79.0
80.0,80.0,80.0
80.0,68.25,73.5
80.0,80.0,80.0
60.0,59.75,66.0
73.0,73.0,72.75
58.5,60.5,79.0
68.25,74.75,75.75
60.75,74.75,76.75
76.75,80.0,80.0
80.0,80.0,80.0
80.0,80.0,78.5
79.25,78.5,74.25
74.0,72.25,76.5
80.0,80.0,80.0
55.25,74.5,73.5
72.0,69.5,67.0
79.0,79.25,78.5
72.25,74.5,73.75
64.0,75.0,82.0
71.0,79.75,72.5
61.5,66.25,71.25
69.0,72.5,72.75
72.75,75.75,74.75
32.0,69.0,61.75
80.0,80.0,80.0
70.0,79.0,79.0
75.5,75.5,79.5
61.75,61.5,66.0
79.25,77.25,73.75
76.25,68.0,71.75
80.0,80.25,80.0
79.5,80.0,80.0
79.0,80.0,80.0
75.25,69.75,64.5
66.5,75.25,79.5
60.75,59.25,63.5
69.0,77.0,78.75
70.75,72.5,79.25
76.25,72.0,67.0
81.0,80.0,78.5
80.0,80.0,80.0
71.75,70.25,70.25
69.5,79.75,73.75
74.0,76.0,73.75
80.0,80.0,80.0
72.0,75.75,76.75
41.0,47.5,61.25
80.0,80.0,82.75
70.25,79.75,79.75
79.75,79.75,77.0
65.5,81.5,79.0
80.0,80.0,80.0
75.0,49.0,74.0
60.0,80.0,80.0
59.25,65.75,66.75
73.0,80.0,79.75
69.5,79.0,76.5
80.0,80.0,77.0
59.25,59.25,63.75
73.75,72.25,80.25
75.25,75.25,78.75
80.25,59.75,76.25
65.0,80.0,80.0
79.25,80.75,81.5
36.0,36.0,73.0
72.25,71.0,66.25
22.0,25.0,62.0
78.5,73.25,74.0
80.0,80.0,80.0
80.0,80.0,80.0
75.75,80.0,77.75
73.25,75.5,73.25
74.0,72.75,61.0
78.0,80.0,75.0
71.5,80.5,81.25
61.0,65.0,61.0
77.25,73.75,79.75
81.25,81.0,79.75
44.0,18.0,18.0
69.75,77.0,76.25
80.0,80.0,73.0
80.0,79.75,80.0
72.75,72.5,80.75
77.5,79.0,66.75
79.25,82.0,77.25
68.0,77.0,72.0
71.25,75.75,73.75
71.25,74.5,75.25
78.25,80.0,80.0
73.25,75.5,72.25
76.0,74.25,75.25
77.25,76.25,70.0
56.0,62.5,59.0
71.0,77.25,76.5
80.0,80.0,60.25
65.0,61.0,61.0
74.25,60.5,79.25
61.75,61.5,62.75
65.25,65.5,75.25
56.75,61.0,60.75
