LastPayDex,PayDex2,PayDex4
75.5,76.75,80.5
80.0,80.0,80.0
71.75,73.25,78.0
79.5,80.0,80.0
65.0,66.0,65.75
80.0,80.0,74.25
61.0,74.0,75.0
61.0,69.0,71.75
52.75,71.25,74.0
60.0,60.5,68.75
69.75,69.0,79.0
76.75,71.0,70.25
70.0,74.5,79.0
73.5,67.25,69.0
71.5,71.5,74.75
70.5,77.25,79.75
67.25,61.5,61.5
21.0,22.0,61.0
79.0,79.0,82.0
78.25,79.5,80.0
61.5,61.0,61.0
67.5,80.0,74.25
80.0,80.0,80.0
76.5,79.75,80.5
57.5,71.25,80.5
80.0,78.25,75.25
79.0,43.0,44.0
80.0,80.0,80.0
76.75,79.0,72.0
80.0,80.0,80.0
71.75,73.0,72.5
79.0,77.0,75.75
75.75,74.75,77.75
76.75,77.5,79.0
80.0,80.0,78.25
79.5,80.0,80.0
53.5,61.5,61.5
50.0,50.0,47.0
80.0,72.0,71.25
72.0,79.0,72.0
51.25,51.25,63.75
80.0,80.0,80.0
61.5,61.5,65.75
72.0,79.5,79.25
80.0,76.75,71.75
79.75,77.0,78.75
80.0,74.0,80.0
80.0,80.0,74.25
65.25,64.5,64.5
80.25,77.25,78.0
79.0,80.0,80.0
54.0,57.0,63.0
79.5,79.75,71.5
80.0,80.0,80.0
55.25,59.25,59.25
49.75,51.0,56.25
80.0,62.75,62.75
80.0,80.0,80.0
80.0,80.0,77.25
68.75,58.75,61.0
61.25,61.75,59.0
80.0,80.0,79.75
40.0,40.0,40.0
66.0,70.5,76.75
77.75,79.0,78.0
71.0,72.75,70.5
79.5,78.0,78.75
69.0,65.75,54.75
57.75,51.25,58.25
69.0,72.5,75.25
75.75,73.75,77.0
52.25,64.75,73.75
80.0,78.0,78.0
76.0,77.75,80.0
56.0,76.0,72.0
59.0,80.0,74.0
80.0,77.25,79.0
80.0,80.0,80.0
77.5,77.5,77.0
81.25,81.5,81.5
80.0,74.5,80.0
79.5,79.5,78.5
48.75,60.0,61.5
75.5,76.0,73.75
77.25,76.25,72.75
60.75,76.25,58.25
81.0,80.0,78.5
59.25,65.75,73.0
79.75,79.75,77.0
64.0,72.75,79.5
78.25,77.5,60.0
48.0,80.0,80.0
67.0,67.0,74.0
74.0,72.75,80.25
80.0,80.0,80.0
65.0,63.0,53.0
79.75,78.5,78.0
79.5,73.75,74.5
59.75,61.0,52.0
80.0,78.0,76.0
80.0,80.0,80.0
80.0,80.0,80.0
66.75,78.5,78.25
67.0,74.25,74.25
78.25,73.25,80.0
79.75,78.5,73.75
78.25,79.5,79.5
47.75,56.0,57.5
23.0,23.0,41.0
79.75,80.0,72.5
80.0,80.0,70.25
80.0,80.0,78.25
79.5,81.0,79.75
78.25,79.0,77.75
77.5,78.25,79.75
71.5,79.75,67.0
77.25,76.75,76.75
78.0,78.75,78.0
75.25,70.0,73.5
56.25,57.0,60.75
77.5,72.75,73.0
72.75,70.25,69.5
80.0,80.0,74.75
80.0,80.0,67.75
10.0,27.0,48.0
64.25,78.5,74.0
80.0,80.0,79.75
80.0,80.0,75.75
55.0,58.75,65.5
72.25,71.25,75.5
80.0,80.0,80.0
80.0,80.0,80.0
45.25,42.0,46.25
61.0,60.5,72.25
79.75,79.0,80.0
75.75,74.75,77.75
55.0,55.0,61.25
65.5,70.5,76.75
38.0,38.0,38.0
78.25,76.75,77.0
67.0,65.0,60.0
66.0,72.5,78.5
80.0,80.0,74.25
64.0,72.75,79.5
80.0,80.0,73.25
62.75,62.75,61.5
76.0,74.0,75.5
59.25,65.75,73.0
68.25,76.0,72.25
64.0,76.0,74.25
80.0,80.0,80.0
70.0,66.0,68.0
68.5,67.25,74.75
66.5,69.0,63.5
66.0,66.0,76.5
80.0,53.0,80.0
77.75,75.5,72.25
63.0,63.0,66.0
74.75,79.0,78.0
73.5,75.0,78.75
78.0,79.5,77.5
80.0,80.0,75.75
80.0,80.0,79.0
80.0,80.0,72.0
79.5,79.75,73.0
77.75,79.0,76.5
80.0,80.0,80.0
75.0,79.75,74.75
31.0,60.0,64.0
76.0,74.25,75.25
80.0,64.25,59.25
